label,kepid,kepoi_name,label_str,period,duration_hr
1,11153539,K00762.01,CONFIRMED,4.49876511,3.7362
1,11391957,K00765.01,CONFIRMED,8.35389523,2.2514
1,9579641,K00115.02,CONFIRMED,7.12594387,3.0014
1,11403044,K00766.01,CONFIRMED,4.125543472,3.1744
1,12366084,K00787.01,CONFIRMED,4.431238488,3.15
1,12110942,K00786.01,CONFIRMED,3.689920099,2.6557
1,11414511,K00767.01,CONFIRMED,2.816504904,2.50587
1,8395660,K00116.01,CONFIRMED,13.57078281,3.3539
0,11656840,K00774.01,FALSE POSITIVE,7.442652004,2.3078
1,11754553,K00775.02,CONFIRMED,7.8774163,2.0805
1,12404086,K00788.01,CONFIRMED,26.39432897,3.573
2,9579641,K00115.03,CANDIDATE,3.43591631,3.133
1,11754553,K00775.01,CONFIRMED,16.38489988,3.0249
2,11818800,K00777.01,CANDIDATE,40.4195037,3.362
1,11853255,K00778.01,CONFIRMED,2.243380573,1.1196
1,8395660,K00116.02,CONFIRMED,43.84439721,6.802
1,11918099,K00780.01,CONFIRMED,2.337437946,1.9982
0,3246984,K00799.01,FALSE POSITIVE,1.626630225,2.1145
1,8395660,K00116.04,CONFIRMED,23.9800854,5.351
1,3342970,K00800.01,CONFIRMED,2.711504086,3.0099
1,3114167,K00795.01,CONFIRMED,6.770300385,2.0844
1,4139816,K00812.02,CONFIRMED,20.06036336,3.3203
0,3114661,K00796.01,FALSE POSITIVE,0.444291966,2.0792
1,8395660,K00116.03,CONFIRMED,6.164876,3.262
1,4139816,K00812.01,CONFIRMED,3.340218842,1.9104
0,3734868,K00805.01,FALSE POSITIVE,10.328035714,7.7915
1,10875245,K00117.02,CONFIRMED,4.90144976,4.1654
1,3940418,K00810.01,CONFIRMED,4.783002698,2.335
1,3935914,K00809.01,CONFIRMED,1.594745374,1.9604
1,4049131,K00811.01,CONFIRMED,20.50588921,4.0595
1,10875245,K00117.01,CONFIRMED,14.74914825,6.0995
1,4725681,K00817.01,CONFIRMED,23.96793669,3.827
2,4544670,K00815.01,CANDIDATE,34.84398644,2.9315
2,4936180,K00820.01,CANDIDATE,4.64090031,35.512
1,5021899,K00821.01,CONFIRMED,21.81295996,4.3791
1,10875245,K00117.04,CONFIRMED,7.95825328,4.377
1,5272878,K00826.01,CONFIRMED,6.365839713,2.9721
1,5252423,K00825.02,CONFIRMED,4.71510843,2.506
0,5283542,K00827.01,FALSE POSITIVE,5.97581754,3.065
0,5649215,K00839.01,FALSE POSITIVE,2.446737317,4.7211
1,10875245,K00117.03,CONFIRMED,3.180027898,3.5797
1,5792202,K00841.02,CONFIRMED,31.33046135,5.176
0,5370302,K00831.01,FALSE POSITIVE,3.9043425,3.831
1,5792202,K00841.03,CONFIRMED,6.54626149,2.75
1,5794379,K00842.02,CONFIRMED,36.06588163,4.3246
1,6276477,K00849.01,CONFIRMED,10.35533116,3.1775
1,6685526,K00861.01,CONFIRMED,2.237489571,1.8119
1,6784235,K00863.01,CONFIRMED,3.167893418,2.1814
0,6862603,K00866.01,FALSE POSITIVE,2.861159894,1.8832
0,11869052,K00120.01,FALSE POSITIVE,20.5452375,2.517
2,7031517,K00871.01,CANDIDATE,12.940668656,2.4845
1,7118364,K00873.01,CONFIRMED,4.347288783,2.1024
1,7287995,K00877.03,CONFIRMED,20.83762895,2.3734
1,7303253,K00878.01,CONFIRMED,23.58917143,5.073
1,8349582,K00122.01,CONFIRMED,11.523067458,3.8757
1,7434875,K00884.02,CONFIRMED,20.47748843,2.8364
1,7455287,K00886.01,CONFIRMED,8.01078456,2.312
0,7552344,K00888.01,FALSE POSITIVE,1.000747038,0.9967
1,7585481,K00890.01,CONFIRMED,8.09888906,4.20241
2,8018547,K00902.01,CANDIDATE,83.92494032,6.7904
1,8150320,K00904.01,CONFIRMED,2.211116989,1.6485
0,7767559,K00895.01,FALSE POSITIVE,4.409409243,3.8636
1,8150320,K00904.03,CONFIRMED,42.1406089,5.083
1,8150320,K00904.04,CONFIRMED,4.617490562,2.2618
1,8150320,K00904.05,CONFIRMED,10.19849255,2.4283
1,7938496,K00900.01,CONFIRMED,13.81020318,3.048
1,8226994,K00906.01,CONFIRMED,7.15681552,2.5882
0,9159275,K00930.01,FALSE POSITIVE,3.044770796,10.0134
1,9166862,K00931.01,CONFIRMED,3.855603916,3.2179
1,9479273,K00940.01,CONFIRMED,6.104849417,4.6912
1,9466668,K00939.01,CONFIRMED,3.388012244,2.6849
1,9466668,K00939.02,CONFIRMED,5.83909761,3.1915
1,8359498,K00127.01,CONFIRMED,3.578780566,2.91089
0,9171801,K00933.01,FALSE POSITIVE,3.187067566,3.119
1,3231341,K01102.03,CONFIRMED,18.9985279,4.529
1,11359879,K00128.01,CONFIRMED,4.942783419,3.25346
1,3231341,K01102.04,CONFIRMED,4.24439049,3.282
1,9406990,K00937.01,CONFIRMED,20.83426731,4.0454
2,10319385,K01169.01,CANDIDATE,0.689210173,1.6169
0,6579806,K00967.01,FALSE POSITIVE,9.88047978,2.78458
0,10485069,K01171.01,FALSE POSITIVE,0.445277068,3.539
2,11502218,K00970.01,CANDIDATE,3.9886021,1.7376
0,3233043,K00966.01,FALSE POSITIVE,0.379463865,0.86896
0,7684873,K00014.01,FALSE POSITIVE,2.947376671,2.0911
2,11180361,K00971.01,CANDIDATE,0.533059312,1.8621
0,6066403,K01045.01,FALSE POSITIVE,1.303861044,4.0541
1,3240158,K01106.01,CONFIRMED,7.42608123,3.6379
0,10341913,K01172.01,FALSE POSITIVE,0.933749106,4.256
1,3218908,K01108.01,CONFIRMED,18.92537246,3.9835
0,3130300,K01105.01,FALSE POSITIVE,5.76573396,2.924
0,10480921,K01173.01,FALSE POSITIVE,2.037440623,3.442
0,3228959,K01107.01,FALSE POSITIVE,0.73094589,4.32
1,10350571,K01175.01,CONFIRMED,31.5925809,13.566
1,3218908,K01108.02,CONFIRMED,1.475323222,2.3155
1,3218908,K01108.03,CONFIRMED,4.15246118,2.5755
0,5820218,K01048.01,FALSE POSITIVE,3.411758679,3.158
0,11192141,K00977.01,FALSE POSITIVE,1.353771892,7.012
0,3344419,K01181.01,FALSE POSITIVE,0.651784374,2.0141
1,2837111,K01110.01,CONFIRMED,8.7348852,4.49
0,8607720,K00981.01,FALSE POSITIVE,3.99751422,3.686
0,5648449,K00979.01,FALSE POSITIVE,4.348866254,3.2797
0,1433962,K00982.01,FALSE POSITIVE,1.592633181,5.5605
1,8559644,K00139.02,CONFIRMED,3.341799486,2.9254
1,1161345,K00984.01,CONFIRMED,4.28746668,1.5693
0,5866099,K01055.01,FALSE POSITIVE,36.97708808,4.737
0,6032981,K01054.01,FALSE POSITIVE,3.3226948,3.568
0,11607193,K00983.01,FALSE POSITIVE,7.1548608,7.694
1,8394721,K00152.02,CONFIRMED,27.40229859,6.8491
0,3003992,K01119.01,FALSE POSITIVE,7.24476126,2.3145
1,7295235,K00987.01,CONFIRMED,3.179267286,1.0246
1,2302548,K00988.01,CONFIRMED,10.38122447,2.715
0,3003992,K01119.02,FALSE POSITIVE,13.55480534,2.288
1,3554031,K01194.01,CONFIRMED,8.70798309,2.4904
1,5880320,K01060.01,CONFIRMED,12.10968709,6.3461
0,6307537,K01120.01,FALSE POSITIVE,29.74454668,23.2842
0,6124941,K01058.01,FALSE POSITIVE,5.670155713,0.9361
0,10743597,K00989.01,FALSE POSITIVE,81.221876,4.1135
1,5880320,K01060.02,CONFIRMED,4.75796103,4.66
1,8394721,K00152.03,CONFIRMED,13.48457668,5.0197
2,10743597,K00989.03,CANDIDATE,16.15811112,6.049
1,3859079,K01199.01,CONFIRMED,53.5292702,5.668
0,6365321,K01123.01,FALSE POSITIVE,0.848483947,1.4451
1,3444588,K01202.01,CONFIRMED,0.928310036,1.1899
1,5880320,K01060.04,CONFIRMED,8.19345065,5.234
0,3557493,K01200.01,FALSE POSITIVE,0.393726813,2.95
1,4061149,K01201.01,CONFIRMED,2.757584622,0.9267
1,10154388,K00991.01,CONFIRMED,12.06222962,2.0584
0,6307521,K01126.01,FALSE POSITIVE,29.7452499,22.695
0,3860441,K01188.01,FALSE POSITIVE,2.988085455,3.68
1,6359320,K01127.01,CONFIRMED,5.32667299,3.4045
0,3557341,K01190.01,FALSE POSITIVE,0.393727296,3.02
1,1718189,K00993.02,CONFIRMED,13.0607936,3.215
1,6359320,K01127.02,CONFIRMED,8.1280933,3.727
2,6359320,K01127.03,CANDIDATE,2.83668931,3.031
1,2165002,K00999.02,CONFIRMED,47.3329299,2.708
1,1871056,K01001.01,CONFIRMED,40.8065333,13.135
1,2165002,K00999.01,CONFIRMED,16.56806842,4.2647
0,2441728,K01000.01,FALSE POSITIVE,0.856895349,1.3078
1,8240904,K01070.02,CONFIRMED,107.7214092,8.042
1,3962243,K01203.02,CONFIRMED,14.12847677,3.685
1,3962243,K01203.03,CONFIRMED,48.6478543,5.464
1,8229696,K01072.01,CONFIRMED,10.12805158,3.517
0,2309585,K01004.01,FALSE POSITIVE,1.838514968,2.7391
1,1865042,K01002.01,CONFIRMED,3.4815917,1.8069
0,8397675,K01140.01,FALSE POSITIVE,0.553261874,0.8875
0,10223616,K01076.01,FALSE POSITIVE,29.12436474,3.4209
0,8312852,K01143.01,FALSE POSITIVE,7.44042933,2.991
1,8288947,K01142.01,CONFIRMED,3.75574267,2.2911
0,892772,K01009.01,FALSE POSITIVE,5.09246539,3.659
1,5446285,K00142.01,CONFIRMED,10.916108342,3.6496
1,8644288,K00137.01,CONFIRMED,7.641567589,3.41018
1,10166274,K01078.01,CONFIRMED,3.353732008,1.4598
2,8313667,K01145.01,CANDIDATE,30.5872153,5.3698
0,8299955,K01147.01,FALSE POSITIVE,2.6827683,2.957
0,10153827,K01079.01,FALSE POSITIVE,0.293630085,2.3857
0,8302450,K01144.01,FALSE POSITIVE,2.44199803,2.759
1,8351704,K01146.01,CONFIRMED,7.09712124,2.1059
0,8127639,K01012.01,FALSE POSITIVE,1.023471798,2.3499
2,10149023,K01081.01,CANDIDATE,9.95639775,5.615
1,8158127,K01015.01,CONFIRMED,9.42889884,4.4481
1,10141900,K01082.01,CONFIRMED,6.50327035,2.591
1,10141900,K01082.03,CONFIRMED,1.196548464,1.2592
0,6047498,K01013.01,FALSE POSITIVE,0.51872711,1.252
1,10141900,K01082.02,CONFIRMED,4.09667624,2.19
1,8644288,K00137.02,CONFIRMED,14.85890852,3.5252
1,8158127,K01015.02,CONFIRMED,4.08897299,3.585
1,8278371,K01150.01,CONFIRMED,0.677374687,1.8361
0,8179973,K01019.01,FALSE POSITIVE,2.49705175,3.79
0,8176653,K01016.01,FALSE POSITIVE,2.866680334,1.1264
0,10342041,K01155.01,FALSE POSITIVE,0.933746515,6.6522
1,9787239,K00952.05,CONFIRMED,0.742957911,0.6688
1,9787239,K00952.01,CONFIRMED,5.90127815,2.1979
1,8644288,K00137.03,CONFIRMED,3.504691252,1.9811
0,10514770,K01156.01,FALSE POSITIVE,1.872421727,1.5261
0,2445154,K01023.01,FALSE POSITIVE,8.4120069,3.923
0,3232859,K01090.01,FALSE POSITIVE,8.387210055,1.6477
0,2720309,K01092.01,FALSE POSITIVE,0.413334492,2.3808
1,10426656,K01161.01,CONFIRMED,6.05729966,3.7419
1,10426656,K01161.02,CONFIRMED,10.93725572,3.0822
1,10426656,K01161.03,CONFIRMED,2.97136658,2.716
2,3329204,K01095.01,CANDIDATE,51.59809554,2.0153
0,3239636,K01093.01,FALSE POSITIVE,0.528755447,5.714
0,3340070,K01097.01,FALSE POSITIVE,10.9110487,7.033
0,10002261,K00959.01,FALSE POSITIVE,12.713794177,2.44093
1,1026957,K00958.01,CONFIRMED,21.76129812,1.243
0,5899544,K01034.01,FALSE POSITIVE,1.739428983,2.4894
1,3231341,K01102.01,CONFIRMED,12.33343853,6.221
0,5963222,K01035.01,FALSE POSITIVE,1.217266418,3.3208
0,3228824,K01100.01,FALSE POSITIVE,0.73093905,2.8437
1,7102227,K01360.02,CONFIRMED,14.58932429,2.4184
0,5817553,K01040.01,FALSE POSITIVE,4.206096814,10.7381
0,5816811,K01042.01,FALSE POSITIVE,2.227718792,4.9699
0,5816165,K01043.01,FALSE POSITIVE,0.591914504,1.0225
1,11512246,K00168.03,CONFIRMED,7.10695741,5.1462
1,6690082,K01240.01,CONFIRMED,2.1395563,2.0678
2,6607286,K01239.01,CANDIDATE,0.783276173,1.6735
1,11401182,K01428.01,CONFIRMED,0.927859786,1.4279
1,10858691,K01306.02,CONFIRMED,3.468073,2.361
1,8107380,K00162.01,CONFIRMED,14.00640392,4.6919
1,6936909,K01363.02,CONFIRMED,5.70070626,1.6408
1,6936909,K01363.01,CONFIRMED,3.546531809,2.2746
1,6962977,K01364.01,CONFIRMED,20.8341497,4.522
1,10858691,K01306.04,CONFIRMED,29.2214959,4.014
1,6962977,K01364.04,CONFIRMED,3.71545593,2.558
1,6962977,K01364.03,CONFIRMED,11.97884409,3.751
1,6962977,K01364.05,CONFIRMED,2.58083264,2.1729
0,8801343,K01247.01,FALSE POSITIVE,2.73987398,4.15886
1,6932987,K01366.01,CONFIRMED,19.25404023,4.6509
0,8488878,K01248.01,FALSE POSITIVE,5.801880653,4.2608
1,6932987,K01366.02,CONFIRMED,54.1558384,4.432
2,8616873,K01251.01,CANDIDATE,0.576078683,1.63253
1,10854768,K01309.01,CONFIRMED,10.1171684,4.6677
0,10785538,K01313.01,FALSE POSITIVE,0.522457732,0.8907
1,10963242,K01312.01,CONFIRMED,6.1469956,3.3153
1,11037335,K01435.02,CONFIRMED,10.44635944,2.749
1,11037335,K01435.01,CONFIRMED,40.7150498,8.587
0,8737796,K01252.01,FALSE POSITIVE,0.885747456,4.4788
2,10794087,K01316.02,CANDIDATE,12.37679312,3.85
0,8848271,K01256.01,FALSE POSITIVE,9.991625291,3.8552
1,11599038,K01437.01,CONFIRMED,7.01733571,3.567
1,8630788,K01258.01,CONFIRMED,36.33750453,7.06
1,11193263,K01438.01,CONFIRMED,6.91134223,5.6743
1,8630788,K01258.02,CONFIRMED,14.64613058,5.688
0,7296086,K01374.01,FALSE POSITIVE,0.890737359,1.9257
1,4164994,K01320.01,CONFIRMED,10.50682978,3.7769
0,5652237,K00164.01,FALSE POSITIVE,4.4645454,2.8823
0,4070376,K01318.01,FALSE POSITIVE,1.634614356,3.4422
0,4480676,K01321.01,FALSE POSITIVE,0.711966971,2.0221
0,7255336,K00019.01,FALSE POSITIVE,1.20320092,1.9197
0,7375795,K01378.01,FALSE POSITIVE,19.30112039,6.0752
1,7831264,K00171.01,CONFIRMED,5.968724048,3.651
1,7532973,K01450.01,CONFIRMED,2.144632238,6.2701
0,7802136,K01449.01,FALSE POSITIVE,10.980246199,3.74464
1,7211469,K01377.01,CONFIRMED,11.29689442,4.623
0,7449844,K01452.01,FALSE POSITIVE,1.152216965,2.2245
0,8766222,K01260.01,FALSE POSITIVE,5.2972293,3.799
1,8678594,K01261.02,CONFIRMED,15.19423359,3.106
0,7375795,K01378.02,FALSE POSITIVE,0.691666384,1.9603
0,4551328,K01324.01,FALSE POSITIVE,0.52205862,2.0847
0,8703884,K01262.01,FALSE POSITIVE,14.17098745,3.4804
1,8612847,K01264.01,CONFIRMED,14.13175309,4.0136
0,11044770,K00170.01,FALSE POSITIVE,15.60865244,6.26
0,11197126,K01443.01,FALSE POSITIVE,4.494498254,1.9742
1,11043167,K01444.01,CONFIRMED,44.9306706,6.539
0,8757910,K01269.01,FALSE POSITIVE,0.655001616,1.8136
1,11336883,K01445.01,CONFIRMED,7.16893064,4.6766
2,11336883,K01445.03,CANDIDATE,20.01959599,7.0
1,9527915,K00165.01,CONFIRMED,13.22175358,2.7884
0,9143254,K01386.01,FALSE POSITIVE,1.137525054,2.68228
0,8971432,K01384.01,FALSE POSITIVE,0.6243875,1.92102
0,8552498,K01272.01,FALSE POSITIVE,0.530967162,3.3659
0,4150624,K01334.01,FALSE POSITIVE,8.6531216,4.39
1,8564587,K01270.02,CONFIRMED,11.60908533,2.2603
1,8972058,K00159.01,CONFIRMED,8.99088621,4.2447
0,9002237,K01389.01,FALSE POSITIVE,4.350087749,2.6428
0,9288786,K01390.01,FALSE POSITIVE,1.744101106,1.5497
0,8958035,K01391.01,FALSE POSITIVE,7.981187121,1.8071
0,7842610,K01453.01,FALSE POSITIVE,0.971933156,1.9265
1,8804283,K01276.02,CONFIRMED,13.26079792,3.912
0,8552565,K01277.01,FALSE POSITIVE,1.061932545,2.1429
1,2441495,K00166.01,CONFIRMED,12.49340725,2.2614
1,4077526,K01336.01,CONFIRMED,10.21864532,3.802
1,8394721,K00152.04,CONFIRMED,81.0637895,3.001
1,3732821,K01207.01,CONFIRMED,13.73474071,2.769
1,8609450,K01278.02,CONFIRMED,44.3471936,6.43
1,3962357,K01210.01,CONFIRMED,14.55387488,6.973
0,9110357,K00016.01,FALSE POSITIVE,0.895277575,2.711
1,4243911,K01337.01,CONFIRMED,1.922799706,1.8604
1,8972058,K00159.02,CONFIRMED,2.403640701,1.4012
1,8822366,K01282.01,CONFIRMED,30.8639476,8.864
1,3939150,K01215.01,CONFIRMED,17.32419108,8.045
1,4650674,K01341.01,CONFIRMED,4.51436096,3.0083
1,8742590,K01281.01,CONFIRMED,49.4781446,2.493
0,8509361,K01280.01,FALSE POSITIVE,6.0990118,3.6112
1,8628758,K01279.01,CONFIRMED,14.37457572,4.7892
1,3939150,K01215.02,CONFIRMED,33.0063185,7.118
0,4386059,K01340.01,FALSE POSITIVE,2.90060781,2.563
1,9150827,K01408.01,CONFIRMED,14.53410833,3.3094
1,3839488,K01216.01,CONFIRMED,11.13127159,4.2372
1,3442055,K01218.01,CONFIRMED,29.6193891,4.9595
1,11666881,K00167.01,CONFIRMED,4.919584997,4.1988
0,3542588,K01217.01,FALSE POSITIVE,3.47143963,3.663
0,9007866,K01407.01,FALSE POSITIVE,1.3866358,4.77
1,4136466,K01344.01,CONFIRMED,4.48758768,2.874
0,10843203,K01287.01,FALSE POSITIVE,4.429633087,3.0257
0,7199774,K01346.01,FALSE POSITIVE,4.70818628,3.278
0,10599397,K01285.01,FALSE POSITIVE,0.937406378,1.9515
0,7284688,K01345.01,FALSE POSITIVE,0.323021692,2.3442
0,6866228,K01348.01,FALSE POSITIVE,7.702374154,3.8459
1,9391208,K01409.01,CONFIRMED,16.56062577,2.611
1,9006449,K01413.03,CONFIRMED,33.8845825,6.538
1,3640905,K01221.01,CONFIRMED,30.1599411,7.874
1,9391506,K01410.01,CONFIRMED,15.74958583,4.6672
0,10874226,K01290.01,FALSE POSITIVE,11.973605044,4.3117
1,11512246,K00168.01,CONFIRMED,10.74241765,6.0633
0,10874926,K01293.01,FALSE POSITIVE,11.703109303,2.0467
0,11193447,K01415.01,FALSE POSITIVE,0.312941621,2.0646
1,11517719,K01416.01,CONFIRMED,2.495780169,4.2721
1,7303287,K01353.02,CONFIRMED,34.5439452,3.482
0,11599264,K01417.01,FALSE POSITIVE,8.428090255,1.881
0,6956233,K01352.01,FALSE POSITIVE,4.81886153,6.223
0,11100657,K01418.01,FALSE POSITIVE,8.344104633,1.8014
2,6620003,K01225.01,CANDIDATE,1.714274727,2.06728
0,6387450,K01228.01,FALSE POSITIVE,3.661326482,2.5714
0,10549562,K01294.01,FALSE POSITIVE,9.08937826,6.255
0,6629332,K01227.01,FALSE POSITIVE,2.155278342,2.1064
0,6432059,K01229.01,FALSE POSITIVE,0.76973817,2.5
1,11512246,K00168.02,CONFIRMED,15.27443889,6.0765
0,6546528,K01235.01,FALSE POSITIVE,3.053563251,3.2551
0,6462874,K01231.01,FALSE POSITIVE,22.34293693,7.0813
1,11497958,K01422.02,CONFIRMED,19.85029495,2.8407
1,11497958,K01422.03,CONFIRMED,10.8644095,1.853
1,6677841,K01236.02,CONFIRMED,12.30971679,6.74
1,6677841,K01236.03,CONFIRMED,54.4205407,8.559
0,9970525,K00154.01,FALSE POSITIVE,30.00908916,3.15
2,10867062,K01303.01,CANDIDATE,34.2966363,19.718
1,4860678,K01602.01,CONFIRMED,9.97716876,5.908
1,9838949,K01716.01,CONFIRMED,4.88084456,2.5574
1,9823487,K01489.01,CONFIRMED,16.00460392,3.9475
1,9895006,K01717.01,CONFIRMED,10.56137217,3.2645
1,9896558,K01718.01,CONFIRMED,67.6690554,9.556
0,12108312,K01492.01,FALSE POSITIVE,0.70544824,2.9423
1,9726659,K01491.01,CONFIRMED,3.148661555,2.1978
0,9602514,K01490.01,FALSE POSITIVE,3.55650737,8.545
1,9573539,K00180.01,CONFIRMED,10.04556377,3.2027
1,9886661,K01606.01,CONFIRMED,5.082748362,1.7732
0,5308663,K01562.01,FALSE POSITIVE,0.784512952,2.4623
1,10963065,K01612.01,CONFIRMED,2.465024332,1.262
0,4940438,K01561.01,FALSE POSITIVE,9.08590495,2.0718
1,8242434,K01726.01,CONFIRMED,44.96407458,4.981
0,10125352,K00021.01,FALSE POSITIVE,4.288515468,2.2959
0,11820830,K01728.01,FALSE POSITIVE,12.7319385,4.4157
1,7841925,K01499.01,CONFIRMED,14.16400071,4.3031
2,7841925,K01499.02,CANDIDATE,0.840594032,1.404
0,9719634,K01500.01,FALSE POSITIVE,3.351556891,2.4005
1,6604328,K01736.01,CONFIRMED,31.0033072,5.253
1,7439316,K01501.01,CONFIRMED,2.617028373,2.046
0,8323753,K00175.01,FALSE POSITIVE,6.71425632,3.339
1,4365645,K01738.01,CONFIRMED,4.16787814,2.2136
1,8197343,K01746.01,CONFIRMED,11.79161234,3.036
1,6975129,K01628.01,CONFIRMED,19.74733983,3.4444
0,5210475,K01568.01,FALSE POSITIVE,1.008917105,1.4577
1,9813499,K01505.01,CONFIRMED,5.03257009,4.213
0,9535080,K01509.01,FALSE POSITIVE,49.6456235,23.568
1,7690844,K01508.01,CONFIRMED,22.0459163,5.22
1,8009350,K01569.01,CONFIRMED,13.75207851,2.8831
0,9641018,K01504.01,FALSE POSITIVE,2.178154348,3.4874
2,11904734,K01764.01,CANDIDATE,12.681733929,1.6866
2,10749128,K01639.02,CANDIDATE,9.9824036,1.09
2,11870545,K01510.01,CANDIDATE,0.839961456,1.3008
0,11955499,K01512.01,FALSE POSITIVE,9.04189129,2.789
1,10004519,K01572.01,CONFIRMED,9.80321143,4.4617
1,10990917,K01643.01,CONFIRMED,11.04605365,4.799
1,9729691,K01751.02,CONFIRMED,20.99757968,2.454
0,11043136,K01644.01,FALSE POSITIVE,2.621706694,1.941
1,9729691,K01751.01,CONFIRMED,8.689301216,2.563
1,10904857,K00194.01,CONFIRMED,3.120828136,2.1878
2,11153121,K01647.03,CANDIDATE,6.33027476,3.67
1,9765975,K01520.01,CONFIRMED,18.45848388,3.3703
1,12506770,K01577.01,CONFIRMED,2.806243488,1.6271
1,9909735,K01779.02,CONFIRMED,11.8150174,2.834
0,9850893,K01523.01,FALSE POSITIVE,8.48039789,6.249
1,11547505,K01655.01,CONFIRMED,0.938466959,1.3015
1,7869917,K01525.01,CONFIRMED,7.71467686,4.5871
1,7831264,K00171.02,CONFIRMED,13.07141889,3.0946
0,3120431,K00798.01,FALSE POSITIVE,3.341913228,3.813
1,3832474,K00806.03,CONFIRMED,29.1598615,4.803
0,5287983,K00828.01,FALSE POSITIVE,2.507089906,2.0067
1,5358241,K00829.01,CONFIRMED,18.64932728,4.4056
1,5358241,K00829.02,CONFIRMED,9.75192101,4.793
1,5358241,K00829.03,CONFIRMED,38.5576546,5.794
0,5077629,K00822.01,FALSE POSITIVE,7.91936937,3.3148
1,5651104,K00840.01,CONFIRMED,3.04033046,1.8411
0,5534814,K00838.01,FALSE POSITIVE,4.859386384,2.2757
1,5881688,K00843.01,CONFIRMED,4.190425659,2.8589
1,6587280,K00857.01,CONFIRMED,5.715425977,2.5242
1,6587280,K00857.02,CONFIRMED,20.0261412,1.611
2,6599919,K00858.01,CANDIDATE,13.61014819,2.594
0,6675056,K00859.01,FALSE POSITIVE,10.44331991,2.743
0,6756669,K00862.01,FALSE POSITIVE,5.851520671,3.11058
1,6849310,K00864.01,CONFIRMED,4.311780262,2.7251
1,6849310,K00864.02,CONFIRMED,20.0504494,4.556
1,6849310,K00864.03,CONFIRMED,9.76734503,1.6585
1,7366258,K00880.01,CONFIRMED,26.44439337,3.9783
1,7366258,K00880.04,CONFIRMED,2.382951591,1.8876
1,7366258,K00880.03,CONFIRMED,5.902245782,2.9003
1,6949607,K00870.01,CONFIRMED,5.912273234,2.3254
1,6949607,K00870.02,CONFIRMED,8.98581901,2.8606
1,7458762,K00887.01,CONFIRMED,7.41113177,2.5242
1,757450,K00889.01,CONFIRMED,8.884922995,2.07004
1,8490993,K00911.01,CONFIRMED,4.093578461,2.5833
1,8628973,K00916.01,CONFIRMED,3.314947362,1.8007
0,8655354,K00917.01,FALSE POSITIVE,6.71969089,3.0231
2,9140402,K00928.01,CANDIDATE,2.494170338,1.1221
1,9388479,K00936.02,CONFIRMED,0.893040969,1.0981
1,9388479,K00936.01,CONFIRMED,9.467821474,2.4327
1,5809890,K01050.02,CONFIRMED,2.853133997,1.465
1,5809890,K01050.01,CONFIRMED,1.269091415,1.4647
0,5876368,K01049.01,FALSE POSITIVE,0.525426427,1.0801
1,9032900,K00134.01,CONFIRMED,67.5923754,12.249
1,2854698,K00986.02,CONFIRMED,76.0498163,7.158
1,2854698,K00986.01,CONFIRMED,8.18739443,3.0472
1,3114811,K01117.01,CONFIRMED,11.08956602,6.2877
2,2853446,K01118.01,CANDIDATE,7.37290344,2.172
1,6060203,K01059.01,CONFIRMED,1.022678654,1.3712
