curve_idx,true_label,pred_prob,pred_label,correct,cam_peak_bin,peak_in_window,cam_centre_mean,cam_outside_mean,cam_centre_ratio,snr
3582,1,0.5870859622955322,1,1,30,0,0.048642098903656006,0.15949375927448273,0.3049780510230766,clean
2202,1,0.4806857705116272,0,0,105,1,0.2738286554813385,0.15510904788970947,1.7653943567631285,clean
214,1,0.5704525113105774,1,1,10,0,0.14063502848148346,0.1695403903722763,0.829507469444908,clean
2324,1,0.4937902092933655,0,0,190,0,0.042283620685338974,0.08730869740247726,0.4843001568035955,clean
1425,1,0.5643357038497925,1,1,40,0,0.01604689471423626,0.07008777558803558,0.2289542261836785,clean
2652,1,0.3494023382663727,0,0,198,0,0.03787688910961151,0.06778194010257721,0.5588049481062564,clean
1675,1,0.3250216841697693,0,0,173,0,0.2620701193809509,0.3880015015602112,0.6754358206676269,clean
692,1,0.45057591795921326,0,0,42,0,0.09276081621646881,0.10135525465011597,0.9152047161702388,clean
291,1,0.4886382818222046,0,0,117,1,0.06935759633779526,0.008128933608531952,8.532178309737457,clean
2399,1,0.5737149119377136,1,1,44,0,0.20014318823814392,0.23013702034950256,0.8696696395803498,clean
2348,1,0.4621121883392334,0,0,75,0,0.22352036833763123,0.1715029925107956,1.3033029455187604,clean
581,1,0.5876966714859009,1,1,83,1,0.28543123602867126,0.23568777740001678,1.2110565387260745,clean
1167,1,0.5433389544487,1,1,81,1,0.13143810629844666,0.07651026546955109,1.7179144303402134,clean
430,1,0.39193373918533325,0,0,95,1,0.25071051716804504,0.24318058788776398,1.030964309429638,clean
330,1,0.5697129368782043,1,1,103,1,0.24004699289798737,0.1835780143737793,1.3076020058328595,clean
2563,1,0.5528650283813477,1,1,91,1,0.2359880805015564,0.14991405606269836,1.5741556926543465,clean
4094,0,0.49609702825546265,0,1,151,0,0.40409329533576965,0.37430137395858765,1.0795933775667743,clean
3747,0,0.1756446212530136,0,1,142,0,0.6630061268806458,0.3554653227329254,1.8651780239250149,clean
5044,0,0.19691944122314453,0,1,71,0,0.2283090502023697,0.2462652623653412,0.9270858534355874,clean
5153,0,0.05012375861406326,0,1,65,0,0.3604668378829956,0.04628089815378189,7.788672527454276,clean
4485,0,0.49911630153656006,0,1,22,0,0.0,0.030831973999738693,0.0,clean
3493,0,0.35681959986686707,0,1,190,0,0.11103605479001999,0.13628734648227692,0.8147201446706419,clean
3020,0,0.4084216356277466,0,1,135,0,0.1783359944820404,0.2812630534172058,0.6340540855786292,clean
3216,0,0.320944219827652,0,1,67,0,0.30481448769569397,0.3278861939907074,0.9296349891693909,clean
5639,0,0.08652642369270325,0,1,73,0,0.1517343521118164,0.22358401119709015,0.6786457784389789,clean
3633,0,0.047157224267721176,0,1,93,1,0.1549845039844513,0.016605127602815628,9.333527230642854,clean
4873,0,0.16375230252742767,0,1,180,0,0.12775781750679016,0.1524558961391449,0.8379984793123525,clean
110,0,0.21183505654335022,0,1,28,0,0.17208726704120636,0.20224961638450623,0.850865685724646,clean
4111,0,0.49711573123931885,0,1,14,0,0.15145446360111237,0.16010788083076477,0.9459525249832993,clean
4889,0,0.2759326994419098,0,1,40,0,0.2761549949645996,0.2737187445163727,1.0089005243814275,clean
4868,0,0.18769365549087524,0,1,26,0,0.09069830924272537,0.1378539502620697,0.6579303856799018,clean
2695,0,0.11460097134113312,0,1,14,0,0.3478858470916748,0.2504793107509613,1.3888805113678817,clean
4464,0,0.3923230767250061,0,1,10,0,0.46421074867248535,0.4160403609275818,1.1157829410581128,clean
1064,0,0.393761545419693,0,1,153,0,0.17087103426456451,0.11475112289190292,1.489057493014272,clean
3752,0,0.5261638164520264,1,0,135,0,0.1291266232728958,0.07485536485910416,1.7250147169250467,clean
4370,0,0.4484052360057831,0,1,95,1,0.1027291789650917,0.05541030317544937,1.853972177342031,clean
4262,0,0.05719153955578804,0,1,83,1,0.4289515018463135,0.1387081891298294,3.0924740176665364,clean
4831,0,0.2904941737651825,0,1,179,0,0.18019689619541168,0.36780956387519836,0.48991899339888956,clean
4117,0,0.06395042687654495,0,1,186,0,0.08169983327388763,0.19622090458869934,0.4163665909168729,clean
2884,0,0.3209996819496155,0,1,95,1,0.21278077363967896,0.16651985049247742,1.2778101843851317,clean
335,0,0.09182875603437424,0,1,20,0,0.2278195172548294,0.31589412689208984,0.721189444971095,clean
1559,0,0.4008071720600128,0,1,91,1,0.059266336262226105,0.01976660266518593,2.9983051353360763,clean
3631,0,0.05114433541893959,0,1,105,1,0.4675404727458954,0.26600193977355957,1.7576580665814676,clean
5045,0,0.24398083984851837,0,1,0,0,0.0,0.0,0.0,clean
4950,0,0.5754438638687134,1,0,127,0,0.04012635722756386,0.07373631000518799,0.5441871417605412,clean
1555,0,0.31925082206726074,0,1,190,0,0.19258929789066315,0.37354397773742676,0.5155732770782511,clean
4071,0,0.24392466247081757,0,1,200,0,0.3113841712474823,0.14083607494831085,2.210968668731209,clean
2505,0,0.2899494171142578,0,1,44,0,0.07002206891775131,0.08966314047574997,0.7809458907724782,clean
4606,0,0.4536483585834503,0,1,0,0,0.1952602118253708,0.13947896659374237,1.3999257565109708,clean
928,0,0.10995395481586456,0,1,64,0,0.1460547149181366,0.16536393761634827,0.8832319077008857,clean
4940,0,0.44977712631225586,0,1,2,0,0.3285715579986572,0.2649571895599365,1.2400929604644706,clean
3704,0,0.30469048023223877,0,1,158,0,0.8220245838165283,0.40537500381469727,2.027812656929782,clean
3875,0,0.4710749089717865,0,1,24,0,0.20798464119434357,0.2379208505153656,0.874175726936358,clean
5141,0,0.24949881434440613,0,1,147,0,0.07965927571058273,0.11987121403217316,0.6645404379052838,clean
292,0,0.2643304169178009,0,1,198,0,0.37255027890205383,0.28424420952796936,1.3106696752557716,clean
4114,0,0.4410235285758972,0,1,144,0,0.0965113416314125,0.1410873383283615,0.6840538345564164,clean
1236,0,0.561296284198761,1,0,61,0,0.1501360982656479,0.17323939502239227,0.8666394244787545,clean
4436,0,0.10608881711959839,0,1,81,1,0.600509524345398,0.2803708612918854,2.1418399193125386,clean
4923,0,0.21920481324195862,0,1,184,0,0.0,0.035462912172079086,0.0,clean
4148,0,0.2291100025177002,0,1,51,0,0.3403567671775818,0.3363017141819,1.0120577526194556,clean
2744,0,0.05839086323976517,0,1,16,0,0.10788758099079132,0.16284748911857605,0.6625068335389902,clean
317,0,0.4892333447933197,0,1,172,0,0.22305165231227875,0.3531609773635864,0.6315863311443359,clean
2896,0,0.5166482329368591,1,0,175,0,0.27583247423171997,0.2754322588443756,1.0014530083531008,clean
4067,0,0.3474714159965515,0,1,157,0,0.038385190069675446,0.08178911358118057,0.46931900464217424,clean
5600,0,0.11652066558599472,0,1,40,0,0.637715756893158,0.10140502452850342,6.288797788574351,clean
2314,0,0.11386822164058685,0,1,34,0,0.3564288914203644,0.12770383059978485,2.7910585127771395,clean
